kello,onntyyppi,lkmpp,lkmjk,lkmmuukulk,lkmhapa,lkmlaka,lkmmo,lkmmp,x,vvonn,kkonn,vakav,y
14.00-14.59,0,0,0,0,1,1,0,0,394469.82,2019,7,2,6684059.12
19.00-19.59,0,0,0,0,1,0,1,0,395558.97,2019,5,2,6684238.87
21.00-21.59,8,0,0,0,0,0,1,0,396031.14,2019,7,2,6684406.81
21.00-21.59,8,0,0,0,1,0,0,0,395079.51,2019,12,3,6684333.13
21.00-21.59,8,0,0,0,1,0,0,0,394479.15,2019,10,2,6684242.05
08.00-08.59,6,0,1,0,1,0,0,0,396154.98,2019,8,2,6684636.61
13.00-13.59,4,1,0,0,1,0,0,0,400920.6,2019,12,2,6681740.68
09.00-09.59,1,1,0,0,1,0,0,0,395663.42,2019,6,2,6682115.14
02.00-02.59,8,0,0,0,1,0,0,0,395799.61,2019,2,2,6682211.04
15.00-15.59,9,0,0,0,2,0,0,0,395687.41,2019,1,2,6682315.96
17.00-17.59,1,0,0,0,2,0,0,0,395111.53,2019,3,2,6683064.84
16.00-16.59,6,0,1,0,1,0,0,0,395160.87,2019,12,2,6683579.42
16.00-16.59,6,0,1,0,1,0,0,0,395146.34,2019,12,2,6683591.08
17.00-17.59,6,0,1,0,1,0,0,0,395486.87,2019,10,2,6680381.67
18.00-18.59,4,1,0,0,1,0,0,0,394664.97,2019,7,2,6680772.25
14.00-14.59,6,0,1,0,1,0,0,0,395254.91,2019,8,2,6679792.72
14.00-14.59,8,0,0,0,1,0,0,0,397131.52,2019,2,2,6679940.55
23.00-23.59,8,0,0,0,1,0,0,0,395187.93,2019,9,2,6679378.03
15.00-15.59,0,0,0,0,3,0,0,0,395502.44,2019,7,3,6680873.05
07.00-07.59,5,1,0,0,1,0,0,0,395501.51,2019,8,3,6681163.53
11.00-11.59,0,0,0,0,3,0,0,0,394223.95,2019,1,2,6683285.91
21.00-21.59,8,0,0,0,1,0,0,0,394105.51,2019,8,2,6683417.14
09.00-09.59,8,0,0,0,0,1,0,0,394149.58,2019,10,2,6683642.94
12.00-12.59,1,1,0,0,1,0,0,0,393737.87,2019,8,2,6683870.26
08.00-08.59,0,0,0,0,1,1,0,0,393446.03,2019,1,2,6684560.06
19.00-19.59,7,0,1,0,1,0,0,0,394284,2019,2,2,6684177
12.00-12.59,1,1,0,0,1,0,0,0,394078.33,2019,7,2,6684318.28
21.00-21.59,4,1,0,0,1,0,0,0,393386.97,2019,5,2,6679675
16.00-16.59,8,0,0,0,1,0,0,0,393829.17,2019,10,3,6681215.1
08.00-08.59,0,0,0,0,5,1,0,0,394227.13,2019,12,2,6681268.17
07.00-07.59,9,0,0,0,0,0,0,1,393540.46,2019,8,2,6681123.51
18.00-18.59,6,0,1,0,1,0,0,0,394026.04,2019,3,2,6681935.09
15.00-15.59,1,0,0,0,1,1,0,0,394432.11,2019,10,2,6682157.29
16.00-16.59,9,0,1,0,1,0,0,0,393908,2019,10,2,6682579
14.00-14.59,0,0,0,0,2,0,0,0,393847.73,2019,1,2,6679158.4
14.00-14.59,6,0,1,0,1,0,0,0,393973.76,2019,12,3,6679238.45
12.00-12.59,7,0,1,0,2,0,0,0,393842,2019,11,2,6679400
08.00-08.59,6,0,1,0,1,0,0,0,393580.52,2019,11,2,6679480.9
16.00-16.59,4,1,0,0,1,0,0,0,393711.82,2019,9,2,6679362.7
20.00-20.59,4,1,0,0,1,0,0,0,393840.89,2019,5,2,6679482.3
17.00-17.59,2,0,0,0,2,0,0,0,393788.8,2019,6,2,6679100.14
16.00-16.59,1,0,0,0,3,0,0,0,391228.84,2019,5,2,6683174.51
12.00-12.59,4,1,0,0,1,0,0,0,391255.77,2019,8,2,6683463.19
09.00-09.59,4,1,0,0,0,0,1,0,391345.34,2019,5,2,6683728.66
17.00-17.59,0,0,0,0,2,0,0,0,393309.32,2019,8,2,6683964.65
15.00-15.59,0,0,0,0,3,0,0,0,391545.93,2019,3,2,6684388.65
14.00-14.59,0,0,0,0,2,0,0,0,391504.6,2019,8,2,6684411.87
22.00-22.59,4,0,0,0,2,0,0,0,390988.98,2019,6,2,6684397.11
13.00-13.59,8,0,0,0,1,0,0,0,392685.35,2019,12,2,6680613.29
12.00-12.59,0,0,0,1,1,0,0,0,392715.17,2019,7,2,6681319.89
13.00-13.59,4,1,0,0,1,0,0,0,390572.64,2019,12,2,6681097.74
13.00-13.59,4,1,0,0,1,0,0,0,390258.18,2019,10,2,6681394.14
09.00-09.59,8,0,0,0,1,0,0,0,393233.98,2019,2,2,6681832.73
16.00-16.59,5,1,0,0,1,0,0,0,390625.25,2019,5,2,6682152.94
17.00-17.59,1,1,0,0,1,0,0,0,392522.57,2019,8,2,6682350.93
07.00-07.59,0,0,0,0,2,0,0,0,391921.75,2019,7,2,6679812.07
16.00-16.59,4,0,0,0,2,0,0,0,390392.06,2019,10,2,6680021.65
16.00-16.59,0,0,0,0,2,0,0,0,392128.88,2019,11,2,6680041.54
07.00-07.59,1,1,0,0,1,0,0,0,391114.74,2019,6,2,6679163.56
05.00-05.59,8,0,0,0,1,0,0,0,392071.63,2019,5,2,6679993.25
03.00-03.59,8,0,0,0,1,0,0,0,390378.25,2019,7,2,6679924.02
07.00-07.59,0,0,0,0,1,1,0,0,392317.22,2019,12,2,6680209.27
21.00-21.59,0,0,0,0,2,0,0,1,395722.4,2019,6,2,6677982.62
08.00-08.59,0,0,0,0,2,0,0,0,394497.33,2019,11,2,6676143.35
15.00-15.59,0,0,0,0,3,0,0,0,395583.98,2019,11,2,6677836.32
16.00-16.59,0,0,0,0,3,0,0,0,395127.65,2019,10,2,6677379.46
04.00-04.59,9,0,1,0,2,0,0,0,396862,2019,2,2,6677519
15.00-15.59,5,0,0,0,2,0,0,0,395069.98,2019,6,2,6677324.7
15.00-15.59,0,0,0,1,3,0,0,0,396005.32,2019,8,2,6678268.13
14.00-14.59,7,0,1,0,1,0,0,0,394839.25,2019,11,2,6677315.17
11.00-11.59,4,0,0,1,0,1,0,0,399608.41,2019,8,2,6677568.03
02.00-02.59,8,0,0,0,1,0,0,0,396497.73,2019,6,3,6674979.67
11.00-11.59,1,1,0,0,1,0,0,0,397039.49,2019,10,2,6675471.05
16.00-16.59,4,0,0,0,2,0,0,0,395756.34,2019,3,2,6675782.64
20.00-20.59,7,0,1,0,1,0,0,0,397094.07,2019,4,3,6675514.35
02.00-02.59,8,0,0,0,1,0,0,0,395948.88,2019,5,2,6675707.65
22.00-22.59,8,0,0,0,1,0,0,0,395893.93,2019,12,2,6675810.67
09.00-09.59,5,0,0,0,2,0,0,0,397050.9,2019,1,2,6675901.96
20.00-20.59,8,0,0,0,0,0,1,0,398511.68,2019,10,3,6676003.59
06.00-06.59,1,1,0,0,1,0,0,0,393555.74,2019,7,2,6677657.98
15.00-15.59,0,0,0,0,3,0,0,0,393535.53,2019,8,2,6678085.91
13.00-13.59,6,0,1,0,1,0,0,0,393414.27,2019,5,2,6677914.73
14.00-14.59,0,0,0,0,2,0,0,0,393449.22,2019,11,2,6678397.54
12.00-12.59,4,1,0,0,1,0,0,0,393305.84,2019,12,2,6678405.3
